,id,learning_rate,batch_size,weight_decay,epochs,best_epoch,best_acc
0,kWHX9Nd6Rt3gHpd9QxtXW6,2e-05,4.0,0.001,10.0,8.0,0.8807453416149068
1,i77DpHUaFZ5QpReA7DtVL7,2e-05,4.0,0.01,10.0,7.0,0.8782608695652174
2,mGtgmx9jhBGq6vsiFzvMAy,2e-05,4.0,0.05,10.0,9.0,0.8782608695652174
3,RBES4F273KHNr5pu6MDs5G,2e-05,4.0,0.1,10.0,10.0,0.8807453416149068
4,FmfwVNFqdKX7eCFNnLPixq,2e-05,4.0,0.8,10.0,8.0,0.8819875776397516
5,kmjiENjeq2EZ4tAPeVhnzn,2e-05,8.0,0.001,10.0,8.0,0.8782608695652174
6,6sHS4qF97a2ahZUVunFMij,2e-05,8.0,0.01,10.0,10.0,0.8757763975155279
7,WjwzEQDJQczSLeaoeQ9Hiv,2e-05,8.0,0.05,10.0,10.0,0.8782608695652174
8,JFp7JzpW2kPBLEHrhChKUm,2e-05,8.0,0.1,10.0,7.0,0.8770186335403727
9,V6K5woT3RinEzqDDSmuUzt,2e-05,8.0,0.8,10.0,9.0,0.8708074534161491
10,YkKUFqoi5SeTtcTzPRduT9,5e-05,4.0,0.001,10.0,9.0,0.8770186335403727
11,8Y43HMPaQfxrsSUpjv2H5i,5e-05,4.0,0.01,10.0,10.0,0.8881987577639752
12,VGPd24RPhUX7EM2HPoZ9rg,5e-05,4.0,0.05,10.0,9.0,0.8807453416149068
13,Rn8gA6yFRfSL2vXYGZaWt4,5e-05,4.0,0.1,10.0,5.0,0.8795031055900621
14,oXAbD3q3Z5o3Q8hYpLGYz9,5e-05,4.0,0.8,10.0,8.0,0.8795031055900621
15,PYUwmgthzfS2ExvPLegd6a,5e-05,8.0,0.001,10.0,6.0,0.8757763975155279
16,RKTAt6XqEkKfcDfGshasg8,5e-05,8.0,0.01,10.0,7.0,0.8782608695652174
17,2kvKUd6LqpzT4dTAAgBHHe,5e-05,8.0,0.05,10.0,5.0,0.8757763975155279
18,4f554X3HWL5vcqQsCoED2k,5e-05,8.0,0.1,10.0,7.0,0.8795031055900621
19,4tAKhhT5FJudiZ2bMghNio,5e-05,8.0,0.8,10.0,5.0,0.8819875776397516
20,fHndD6rHrfVwo92U3JV2Aw,7e-05,4.0,0.001,10.0,8.0,0.8857142857142857
21,X5GxbdSoXEFpxYFhgimhud,7e-05,4.0,0.01,10.0,8.0,0.8720496894409938
22,aUcoukqwHciVKg8L9hUSby,7e-05,4.0,0.05,10.0,9.0,0.8683229813664596
23,n5pDrXYME4BDbAxvktUbAo,7e-05,4.0,0.1,10.0,9.0,0.8857142857142857
24,kSU9GsrKYdD5Mq56Jx3XyN,7e-05,4.0,0.8,10.0,10.0,0.8770186335403727
25,KswpBST5aut2KyksMHN6Js,7e-05,8.0,0.001,10.0,7.0,0.8782608695652174
26,4W6seeLQxMYzC6Vxprexw4,7e-05,8.0,0.01,10.0,8.0,0.8745341614906832
27,HztfmHjbYBFqvqWWYv8vi2,7e-05,8.0,0.05,10.0,7.0,0.8857142857142857
28,d7t5FrN4uyk7G67eWprU7i,7e-05,8.0,0.1,10.0,7.0,0.8968944099378882
29,Uejy5Ws63X7vbyLWq3yCph,7e-05,8.0,0.8,10.0,5.0,0.8782608695652174
