,id,learning_rate,batch_size,weight_decay,epochs,best_epoch,best_acc
0,PpiXypJVDF6L3ZMc2Z47dC,0.01,2.0,0.0001,15.0,1.0,0.4322981366459627
1,jVWD4Ti6V4myvk8PSARN96,0.01,2.0,0.001,15.0,1.0,0.4322981366459627
2,U4rw5c7TxHf8bhrBoj7SEb,0.01,2.0,0.01,15.0,1.0,0.4322981366459627
3,UvM5ttFHfNWxnLUFzmbq94,0.01,2.0,0.1,15.0,4.0,0.4322981366459627
4,6DaoHjpXdLndyKPBzHxtyt,0.01,2.0,1.0,15.0,1.0,0.4322981366459627
5,e7b5yxLBXUobBCnEXVaGaS,0.01,4.0,0.0001,15.0,1.0,0.4322981366459627
6,nAyec4ZX7ubjHhSTkVyAAx,0.01,4.0,0.001,15.0,14.0,0.4658385093167702
7,ZkR4mHuSQbENN2EGD86CAZ,0.01,4.0,0.01,15.0,2.0,0.4322981366459627
8,dvv5H6vRPNfnBf87iD4gYC,0.01,4.0,0.1,15.0,1.0,0.4322981366459627
9,gMCVCnhD94MvxRzLpiQZaq,0.01,4.0,1.0,15.0,1.0,0.4322981366459627
10,Dec4MNBiGv6yAErgSB9Fda,0.01,8.0,0.0001,15.0,4.0,0.4322981366459627
11,FiSoMPRAxTXecy8UxEgRnx,0.01,8.0,0.001,15.0,12.0,0.4360248447204969
12,XHTRiDD7z7FC6obs6ZRH9Q,0.01,8.0,0.01,15.0,13.0,0.4484472049689441
13,Mc5Y23Hbwm3XrzAckHWY95,0.01,8.0,0.1,15.0,14.0,0.4409937888198758
14,WYdSXtDxaG8yTFgbULxzEm,0.01,8.0,1.0,15.0,2.0,0.4322981366459627
15,jfGsqfaRrSvvwXa6NzEubQ,0.01,16.0,0.0001,15.0,15.0,0.4571428571428571
16,P7hroKuBQAusQPg4xXQE4b,0.01,16.0,0.001,15.0,1.0,0.4322981366459627
17,hkmboYYGWsqJ7N2cv696rp,0.01,16.0,0.01,15.0,15.0,0.4422360248447205
18,4c5B4jDTpreGhznTc4UTwF,0.01,16.0,0.1,15.0,9.0,0.4422360248447205
19,eqLFNjuahardD3oVA7kztv,0.01,16.0,1.0,15.0,1.0,0.4322981366459627
20,bYKC8rAswZGwCoCZPcbE8Q,0.01,32.0,0.0001,15.0,12.0,0.4385093167701863
21,7YrnPxudQjjBjTL3RaRzQp,0.01,32.0,0.001,15.0,14.0,0.4385093167701863
22,UzDQ9E4cgK6KnbNt6g6SHx,0.01,32.0,0.01,15.0,2.0,0.4322981366459627
23,my3ao327C4AkTbQU9BApTH,0.01,32.0,0.1,15.0,4.0,0.4322981366459627
24,ZxvnLAqJtRiGg4zjNmdi8B,0.01,32.0,1.0,15.0,1.0,0.4322981366459627
25,ZQ6QiZqYbDKcJPoN5cebWn,0.0001,2.0,0.0001,15.0,12.0,0.8832298136645963
26,b9Fuxb552masuZNxqcSpEH,0.0001,2.0,0.001,15.0,8.0,0.8782608695652174
27,d6d3tia4WMnxvmGjSqtmcW,0.0001,2.0,0.01,15.0,10.0,0.8819875776397516
28,UxffLXC6ADUDeDqJ6BFEpF,0.0001,2.0,0.1,15.0,12.0,0.8745341614906832
29,M4sznUhwMcarxYxNgyg4A8,0.0001,2.0,1.0,15.0,3.0,0.8099378881987578
30,B8tAvUFn3Aqc24nPKTnM7F,0.0001,4.0,0.0001,15.0,12.0,0.8869565217391304
31,QAKbZ2ksTmpcqSX6s7Leqz,0.0001,4.0,0.001,15.0,10.0,0.8869565217391304
32,9E4ZPxayRaTgA6e7535pjB,0.0001,4.0,0.01,15.0,8.0,0.8894409937888199
33,HrbnLe9atkiP9kfYmMnhaB,0.0001,4.0,0.1,15.0,13.0,0.8894409937888199
34,2mY2uWH66iUnKvxjrjuNWA,0.0001,4.0,1.0,15.0,13.0,0.8795031055900621
35,MJQyCSRDGZXjPrEr2pdztL,0.0001,8.0,0.0001,15.0,10.0,0.8869565217391304
36,Y7WByAZxFTVGdKzBqBRo5k,0.0001,8.0,0.001,15.0,12.0,0.8993788819875776
37,QdKGFbF5coazfkWWviKs8d,0.0001,8.0,0.01,15.0,12.0,0.8993788819875776
38,WKt6fEj6Z8YJQDqyxqnyPS,0.0001,8.0,0.1,15.0,9.0,0.8894409937888199
39,4WkhLzaAV6cPCyjryyLs9P,0.0001,8.0,1.0,15.0,15.0,0.8981366459627329
40,RpcspFD6dMNDe2mdsMa4zh,0.0001,16.0,0.0001,15.0,7.0,0.8993788819875776
41,boGB8X6WbPt5NeVy3vQEmo,0.0001,16.0,0.001,15.0,7.0,0.893167701863354
42,SgkaJBSxvdqfiQydsx2Zmh,0.0001,16.0,0.01,15.0,13.0,0.8968944099378882
43,DKnPdK7JvjhPoMm2s8Pz3H,0.0001,16.0,0.1,15.0,13.0,0.901863354037267
44,KMZY84TqUsVgHZBG4Lr8r2,0.0001,16.0,1.0,15.0,7.0,0.9043478260869564
45,ktZw2NrdAwEP8yq8TBXgYW,0.0001,32.0,0.0001,15.0,5.0,0.8968944099378882
46,YjD6tvcVYmZNFGwjdcJmsV,0.0001,32.0,0.001,15.0,12.0,0.901863354037267
47,W7NG4MiTn5oomC3NCVATMM,0.0001,32.0,0.01,15.0,8.0,0.8956521739130435
48,UBirrTNmUhSZsz67ZPjznF,0.0001,32.0,0.1,15.0,12.0,0.91055900621118
49,g7heuZgspPr6fqUL9bDbS2,0.0001,32.0,1.0,15.0,7.0,0.9031055900621118
